d
ms,left,right,volts,ma,held,ws,gx,gy,gz,ax,ay,az,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63
307856,0,0,5.39,56,0,0,-0.0,0.3,-0.7,-0.010,-0.032,1.005,26.75,26.50,26.00,26.75,26.75,26.50,26.25,25.75,26.00,26.50,26.75,26.25,26.50,26.50,26.00,26.75,25.00,26.75,26.25,26.50,27.50,27.00,26.25,26.50,25.75,26.75,28.25,29.00,30.00,29.50,27.75,28.00,26.75,27.00,30.75,31.75,31.25,29.25,27.50,27.00,25.50,27.00,30.75,30.25,29.25,28.25,25.25,24.75,26.00,27.00,28.50,29.25,29.00,28.25,25.50,24.50,25.50,27.25,28.50,29.00,29.25,26.50,23.75,24.75
307956,0,0,5.38,56,0,0,-0.1,0.3,-0.7,-0.010,-0.034,1.005,26.75,26.50,26.50,26.75,26.75,27.00,26.25,26.50,25.50,27.00,26.50,26.50,26.25,26.25,25.75,26.00,25.25,26.75,26.25,27.00,27.25,26.75,26.50,26.50,25.50,26.75,28.00,29.75,30.00,28.75,27.50,28.00,26.75,27.25,30.50,31.50,31.00,30.00,28.00,27.00,26.25,27.25,30.75,30.25,29.75,28.75,25.25,25.25,25.50,27.00,28.50,29.25,29.00,28.25,25.00,25.00,25.75,26.75,28.75,28.75,29.25,26.75,24.00,24.50
308056,0,0,5.39,57,0,0,-0.0,0.3,-0.7,-0.012,-0.034,1.005,26.75,26.50,26.50,27.00,26.75,26.50,26.00,26.00,25.25,26.75,26.25,26.75,27.00,26.75,25.50,25.75,25.00,27.00,26.25,27.25,27.25,27.25,26.50,26.50,26.00,26.75,28.25,29.25,30.50,29.25,27.50,27.50,26.50,27.00,30.50,31.75,31.00,30.00,28.00,27.00,26.00,27.00,30.75,30.50,29.50,29.00,25.50,25.00,26.00,27.50,28.75,29.50,29.25,28.25,25.25,25.00,26.00,27.25,28.50,29.00,29.75,26.75,23.75,24.25
308156,0,0,5.39,60,0,0,-0.0,0.3,-0.7,-0.011,-0.034,1.005,26.00,26.50,26.25,27.00,26.75,26.25,26.25,26.25,26.00,26.50,26.50,26.25,26.50,26.50,25.75,26.25,24.75,26.75,26.75,27.00,27.25,27.00,26.25,26.50,25.75,27.00,27.75,29.25,30.50,29.25,27.50,27.75,26.75,26.50,30.50,31.75,31.00,30.25,27.50,27.00,26.00,27.00,30.50,30.75,29.75,28.75,25.25,24.50,25.75,26.50,28.50,29.00,29.00,28.00,24.75,24.50,25.25,26.75,28.50,29.00,28.75,26.75,23.50,24.25
308256,0,0,5.38,56,0,0,-0.0,0.3,-0.7,-0.011,-0.034,1.004,26.25,27.00,26.50,26.75,26.25,26.25,26.25,26.00,25.75,27.00,26.75,26.50,26.50,26.50,26.00,26.75,25.25,26.50,26.75,27.25,27.25,27.25,26.75,25.50,25.75,26.75,28.00,29.50,30.25,29.25,27.75,28.00,26.75,27.00,30.75,31.75,30.75,30.00,27.75,26.75,26.00,27.25,30.50,30.25,29.75,28.75,25.25,24.25,25.75,27.50,28.50,29.50,29.25,28.00,25.00,25.00,26.00,26.75,29.00,28.75,28.75,26.50,24.50,24.25
308356,0,0,5.39,56,0,0,-0.0,0.3,-0.7,-0.010,-0.034,1.004,26.25,26.75,27.00,26.50,26.75,26.50,26.25,26.25,25.75,26.50,27.00,26.50,26.75,26.75,26.00,26.25,25.50,26.75,26.50,27.00,27.50,27.00,26.75,26.50,25.75,26.75,27.75,29.25,30.00,29.25,27.50,27.50,26.50,27.00,31.00,31.75,31.25,30.00,27.25,27.25,26.00,27.50,30.75,30.50,29.75,29.00,25.25,25.00,25.50,27.75,28.75,29.50,29.25,28.00,25.00,24.75,25.50,27.25,28.75,28.50,29.25,26.75,24.25,24.00
308456,0,0,5.39,56,0,0,0.0,0.3,-0.7,-0.011,-0.035,1.004,26.50,26.75,25.75,26.75,26.25,26.25,26.25,26.25,25.25,26.75,26.75,26.50,26.75,26.50,25.75,25.75,25.25,26.75,26.25,27.25,27.50,27.00,26.75,26.00,25.50,26.75,28.00,29.25,29.75,29.50,27.50,27.50,26.75,26.50,30.75,31.25,31.25,30.25,28.00,26.75,25.50,27.75,31.00,30.50,29.50,28.50,25.00,24.75,25.50,27.00,28.75,29.25,29.00,28.25,24.75,25.00,25.50,27.00,28.50,28.75,29.25,26.75,24.50,24.00
308556,0,0,5.39,59,0,0,0.0,0.3,-0.7,-0.011,-0.033,1.006,26.50,26.75,25.75,26.75,26.25,26.25,26.25,26.25,25.25,26.75,26.75,26.50,26.75,26.50,25.75,25.75,25.25,26.75,26.25,27.25,27.50,27.00,26.75,26.00,25.50,26.75,28.00,29.25,29.75,29.50,27.50,27.50,26.75,26.50,30.75,31.25,31.25,30.25,28.00,26.75,25.50,27.75,31.00,30.50,29.50,28.50,25.00,24.75,25.50,27.00,28.75,29.25,29.00,28.25,24.75,25.00,25.50,27.00,28.50,28.75,29.25,26.75,24.50,24.00
308656,0,0,5.39,56,0,0,-0.0,0.3,-0.6,-0.011,-0.034,1.005,26.25,26.75,26.25,27.00,27.00,26.50,26.25,26.75,26.00,26.50,26.50,26.25,26.25,26.25,26.50,26.25,25.00,27.00,26.50,27.00,27.25,27.25,26.75,26.25,25.75,26.75,28.25,29.50,30.25,29.25,28.00,27.50,27.00,27.00,31.00,31.50,31.00,30.00,27.50,27.00,25.75,27.00,30.50,30.25,29.25,28.50,25.50,25.50,25.50,27.00,28.75,29.50,29.25,28.00,25.00,24.75,25.25,26.75,28.50,29.00,29.25,26.50,24.50,24.00
308756,0,0,5.38,56,0,0,-0.1,0.3,-0.6,-0.010,-0.033,1.007,26.50,26.75,26.25,26.50,26.50,27.00,25.50,25.75,26.25,26.50,26.50,26.50,26.75,26.00,25.50,25.75,24.75,26.75,26.25,27.25,27.00,27.25,26.50,26.25,25.25,26.75,28.00,29.50,29.75,29.00,27.50,28.00,26.50,27.00,31.00,31.50,31.25,30.00,27.25,26.75,26.25,27.25,30.25,30.25,29.75,28.25,24.75,24.75,25.25,27.00,28.25,29.00,29.00,28.25,24.50,24.75,25.25,27.00,28.75,28.50,29.00,26.50,24.00,24.25
308856,0,0,5.39,55,0,0,-0.1,0.3,-0.6,-0.010,-0.033,1.004,26.50,26.75,26.50,27.00,26.75,26.50,26.50,26.50,26.00,26.75,26.50,27.00,26.50,26.25,26.25,26.00,24.75,26.50,26.75,27.50,27.25,27.00,27.00,26.50,26.50,26.50,28.25,29.25,30.00,29.50,27.50,27.75,27.00,27.00,30.75,31.50,30.75,29.75,27.75,26.50,25.50,27.25,30.25,30.50,29.50,28.75,25.25,25.00,25.75,27.00,29.00,29.50,29.00,28.00,25.00,24.75,25.25,26.75,28.50,29.25,29.00,26.75,24.00,24.25
308956,0,0,5.39,58,0,0,0.0,0.3,-0.7,-0.011,-0.033,1.005,26.25,26.75,26.50,27.25,27.25,26.25,25.50,26.25,26.00,26.50,26.50,26.75,27.00,26.50,26.00,26.25,24.75,27.25,26.25,27.25,27.25,27.00,26.25,26.50,26.00,26.50,28.00,29.25,30.50,29.25,27.75,27.75,27.00,27.00,30.75,31.50,31.00,29.50,27.50,27.00,26.00,27.25,30.25,30.50,29.50,28.75,24.75,25.00,25.50,27.00,28.50,29.50,29.50,28.25,25.00,25.00,25.75,26.75,29.00,29.00,29.50,27.00,24.25,24.25
309056,0,0,5.39,56,0,0,-0.0,0.3,-0.6,-0.010,-0.033,1.004,26.50,26.50,26.75,26.50,27.00,26.50,26.50,26.50,26.00,26.75,26.25,26.50,26.50,26.50,26.25,26.50,24.50,26.50,26.50,27.00,27.25,27.00,26.75,26.25,26.25,26.75,27.75,29.75,30.25,29.50,27.75,27.75,26.75,26.75,30.75,31.50,31.25,30.00,28.25,27.25,26.00,27.50,30.75,30.75,29.50,28.75,25.75,24.75,25.50,27.25,29.00,29.25,29.00,28.25,25.25,25.00,25.75,26.75,28.50,29.00,28.75,27.25,25.00,24.25
309156,0,0,5.38,56,0,0,-0.1,0.3,-0.7,-0.009,-0.035,1.005,26.50,26.50,26.50,26.50,26.75,27.00,26.00,26.00,26.00,27.00,26.25,26.75,26.75,26.50,26.00,26.25,25.00,27.00,26.75,27.50,27.25,26.75,26.50,26.50,25.75,27.25,27.75,29.75,30.25,29.00,27.50,28.00,27.00,26.50,31.00,31.25,31.50,30.00,27.75,27.25,26.25,27.50,30.75,30.25,29.50,29.00,25.75,25.50,26.00,26.75,29.00,29.00,28.75,28.50,24.75,24.50,25.00,27.00,28.25,28.75,29.50,27.00,25.00,24.00
309256,0,0,5.39,56,0,0,-0.0,0.3,-0.7,-0.011,-0.033,1.005,26.00,26.25,26.50,26.50,26.50,26.50,26.25,25.75,26.00,26.50,26.50,26.75,26.00,26.00,25.75,25.75,25.00,26.50,26.50,26.75,27.25,27.00,26.25,26.50,25.75,26.75,28.00,29.25,30.00,29.25,27.50,28.00,26.25,26.75,30.50,31.25,30.75,29.75,27.50,27.00,25.75,27.00,30.75,30.50,29.50,28.50,25.25,24.50,25.50,26.75,28.75,29.00,29.25,28.00,24.75,24.75,25.50,26.75,28.50,28.50,29.50,26.50,24.50,24.25
309356,0,0,5.38,58,0,0,-0.1,0.3,-0.7,-0.012,-0.034,1.005,26.25,27.00,26.50,27.25,26.75,26.50,26.25,26.50,26.00,26.75,26.75,26.75,26.75,26.25,25.75,26.25,25.25,27.00,26.25,26.25,27.25,26.75,26.75,26.25,25.50,26.75,28.25,29.50,30.25,29.00,27.50,28.25,26.50,27.25,31.00,31.75,31.50,30.00,27.50,27.00,25.75,27.50,30.75,30.50,29.75,29.00,25.00,25.25,25.75,27.75,28.25,29.50,29.25,28.50,25.25,25.25,25.50,27.00,28.50,28.50,29.25,27.00,24.50,24.50
309456,0,0,5.39,56,0,0,-0.0,0.3,-0.7,-0.011,-0.033,1.005,26.75,27.00,26.50,27.00,27.00,26.50,26.25,26.00,26.00,26.75,26.50,26.50,26.25,26.50,25.75,26.00,24.75,26.50,26.25,26.75,27.00,27.00,26.00,26.25,26.00,26.75,27.75,29.25,30.50,29.50,27.50,27.50,27.25,26.75,30.50,31.75,31.25,30.00,27.50,26.75,26.00,27.00,31.25,30.50,29.75,29.25,25.25,25.25,25.50,27.25,28.75,29.00,29.00,28.25,25.25,24.75,25.75,26.75,28.50,28.75,29.00,26.75,24.00,24.50
309556,0,0,5.39,56,0,0,0.0,0.3,-0.7,-0.009,-0.034,1.005,26.50,26.75,26.50,27.00,26.75,26.75,26.50,26.50,25.75,26.25,26.75,26.50,26.75,26.25,26.00,26.25,25.25,27.00,26.75,27.25,27.25,26.75,26.25,26.50,25.75,27.00,27.75,29.25,29.75,29.25,27.75,27.75,26.75,26.75,31.00,31.75,31.00,30.00,28.00,27.00,26.00,27.25,30.75,30.75,29.25,29.00,25.00,25.25,25.50,27.25,28.75,29.50,28.50,27.75,24.50,24.75,25.50,26.75,28.75,29.00,28.75,26.50,24.00,24.25
309656,0,0,5.39,56,0,0,-0.1,0.3,-0.7,-0.011,-0.034,1.005,26.50,26.75,26.25,26.75,26.75,26.75,26.25,25.75,26.50,26.75,26.50,26.00,26.75,26.25,26.00,26.00,25.00,27.00,27.00,27.25,27.25,26.50,26.50,27.00,25.75,26.50,27.75,29.50,30.00,29.50,27.25,28.00,26.50,26.75,31.25,31.50,31.25,30.00,27.75,26.75,25.50,26.75,30.75,30.25,29.50,29.00,25.25,25.00,25.50,27.00,28.25,29.25,29.25,28.00,24.75,24.75,25.75,27.00,28.75,28.50,29.00,26.25,24.00,24.00
309756,0,0,5.38,56,0,0,0.0,0.2,-0.7,-0.011,-0.034,1.004,26.00,26.75,26.75,26.50,26.50,26.50,26.25,26.25,25.75,26.25,26.75,26.00,26.00,26.25,25.50,25.75,25.00,26.75,26.50,27.00,27.25,26.50,26.50,26.75,25.75,26.75,27.75,29.50,30.00,28.75,27.25,27.50,26.50,26.50,30.75,31.50,31.00,29.75,27.50,26.75,25.50,27.25,30.50,30.25,29.25,28.50,25.50,25.00,25.25,27.00,28.50,29.25,29.75,27.75,24.75,25.00,25.50,26.50,28.25,29.25,29.25,26.50,23.75,23.75
309856,0,0,5.39,60,0,0,0.0,0.3,-0.6,-0.010,-0.034,1.004,26.50,26.75,26.25,27.00,26.50,26.50,26.25,26.00,26.25,26.50,26.75,26.50,26.50,26.50,26.00,26.00,24.75,26.75,26.75,26.75,27.25,27.25,26.75,26.00,25.50,26.75,28.25,29.50,30.50,29.00,27.50,27.50,27.00,26.75,30.75,31.50,31.00,29.75,28.00,27.00,26.25,27.50,30.75,30.00,29.50,28.50,25.25,25.25,25.25,27.25,28.50,29.50,29.25,28.25,25.00,25.00,25.50,26.75,28.25,29.25,29.50,26.75,24.00,24.25
309956,0,0,5.38,56,0,0,-0.1,0.3,-0.6,-0.011,-0.034,1.005,26.25,27.00,26.50,27.00,27.00,26.75,26.75,26.25,25.50,26.50,26.75,26.50,26.50,26.25,26.00,25.75,25.00,27.25,26.00,27.00,27.25,27.25,26.50,25.75,25.25,26.50,28.25,29.50,30.25,29.50,27.50,27.75,27.00,27.00,30.75,31.75,31.25,29.75,27.50,27.00,26.00,27.00,30.75,30.50,29.50,29.00,25.25,24.75,25.75,27.00,28.50,29.25,29.00,28.50,25.00,25.00,25.25,26.75,28.75,28.50,29.25,26.50,24.25,24.00
310056,0,0,5.39,56,0,0,-0.0,0.3,-0.7,-0.009,-0.034,1.006,26.25,26.75,26.25,26.75,26.50,26.75,26.00,26.25,26.25,26.50,26.50,26.50,26.75,26.25,26.25,26.25,25.00,27.25,26.50,27.25,27.00,26.50,26.50,26.25,25.75,26.75,28.00,29.50,30.00,29.50,27.25,27.75,27.00,26.75,30.75,31.75,31.25,30.00,27.75,27.00,26.00,27.25,30.75,30.25,29.75,28.75,25.00,24.75,25.50,27.00,28.75,29.50,29.00,28.00,25.00,24.75,25.50,27.00,28.50,29.25,28.75,26.50,24.00,24.50
310156,0,0,5.39,56,0,0,-0.0,0.3,-0.7,-0.011,-0.034,1.004,26.50,26.75,26.75,27.00,26.75,26.75,26.00,26.50,26.25,26.75,26.50,26.75,26.75,26.75,25.50,25.75,25.50,27.00,26.50,27.00,27.50,26.75,26.25,26.25,26.00,26.75,27.75,29.50,30.00,29.25,27.50,27.75,26.75,26.75,30.75,31.75,31.00,29.75,27.75,27.00,26.00,27.25,31.00,30.50,29.75,28.75,25.25,25.00,25.75,27.00,28.75,29.25,29.25,28.00,25.00,24.75,25.25,26.75,28.50,28.75,29.00,26.50,24.25,24.75
310256,0,0,5.39,58,0,0,-0.0,0.3,-0.7,-0.011,-0.034,1.005,26.00,26.50,26.25,26.50,26.25,26.50,26.00,26.00,25.75,26.25,26.00,26.75,26.75,26.25,26.00,26.25,24.50,26.75,26.25,26.75,27.00,27.00,26.25,26.50,25.50,26.75,27.50,29.25,30.25,28.75,27.50,27.75,26.50,27.00,30.50,31.25,31.00,29.75,27.50,27.25,26.00,27.00,30.25,30.25,29.50,29.00,25.25,25.00,25.25,27.00,28.75,29.25,29.00,28.25,24.75,24.50,25.75,27.00,28.50,28.75,29.00,26.50,23.75,24.00
310356,0,0,5.39,56,0,0,-0.0,0.3,-0.7,-0.010,-0.033,1.006,26.50,27.00,26.50,26.50,26.50,26.50,25.75,26.00,26.00,26.50,26.50,26.50,26.25,26.50,26.00,26.00,25.00,27.00,26.00,27.25,26.75,27.25,26.00,26.25,26.00,26.75,28.00,29.50,30.00,29.00,27.50,27.75,26.50,27.25,31.00,31.75,31.00,30.00,27.50,27.00,25.75,27.50,30.75,30.25,29.50,29.00,25.25,25.00,25.50,27.00,29.25,29.25,29.25,28.75,25.00,24.75,26.00,27.25,28.50,28.75,29.50,27.00,24.25,25.00
310456,0,0,5.39,56,0,0,0.0,0.3,-0.6,-0.010,-0.033,1.004,26.50,27.00,26.00,27.00,26.75,26.50,26.25,26.00,26.00,26.50,26.50,26.00,26.75,26.75,26.00,25.75,25.00,27.00,26.50,26.50,26.75,27.25,26.50,26.50,25.75,27.25,28.00,29.50,29.75,29.25,27.50,28.00,26.75,26.75,30.75,31.75,31.00,29.75,27.75,26.50,25.75,27.50,30.25,30.50,29.75,29.00,25.50,24.75,25.75,27.00,28.50,29.00,29.25,28.25,25.00,25.25,25.50,26.50,28.50,28.50,29.25,27.00,23.75,24.75
310556,0,0,5.39,56,0,0,-0.1,0.3,-0.6,-0.011,-0.035,1.005,26.25,27.00,26.25,27.00,26.75,26.25,26.25,26.25,25.50,26.75,26.50,26.50,26.50,26.50,26.00,25.75,24.75,27.00,26.00,26.50,27.00,27.00,26.25,26.00,25.00,26.75,28.00,29.25,30.00,29.00,27.75,27.75,26.75,26.75,31.00,31.50,31.00,30.25,27.50,27.00,25.75,27.25,30.75,30.25,29.25,28.25,25.00,25.00,25.75,27.00,29.00,29.25,29.25,28.00,25.25,24.75,25.50,27.25,28.75,29.00,29.00,26.75,24.00,24.25
310656,0,0,5.39,58,0,0,-0.1,0.3,-0.7,-0.011,-0.034,1.005,26.25,26.75,26.50,26.50,26.75,26.50,26.25,26.50,26.00,26.50,26.50,26.75,26.50,26.50,26.00,26.00,25.00,27.25,26.75,26.75,27.50,26.50,26.75,26.50,25.50,26.75,28.00,29.25,30.00,29.25,28.00,27.50,26.75,26.75,30.75,31.50,31.25,30.00,27.25,27.00,25.75,27.50,31.00,30.50,30.00,29.00,25.25,24.75,25.50,27.25,28.75,29.50,29.25,28.00,25.00,25.25,25.25,26.75,28.75,29.00,29.50,26.75,24.75,23.75
310756,0,0,5.39,56,0,0,-0.0,0.3,-0.7,-0.010,-0.033,1.005,26.50,27.25,26.75,26.75,26.50,26.25,26.00,26.00,25.75,26.25,26.75,26.75,26.50,26.50,26.00,26.25,24.75,26.75,26.00,26.75,26.75,27.00,26.00,26.00,25.75,26.50,28.00,29.50,30.00,28.75,27.50,27.75,26.75,26.50,30.75,31.50,31.00,30.00,27.50,26.50,26.00,27.00,30.50,30.25,29.75,29.00,25.25,24.75,25.50,27.00,28.75,29.00,29.25,28.25,24.75,24.50,25.00,27.00,28.75,29.25,29.00,26.75,23.75,24.25
310856,0,0,5.39,56,0,0,0.0,0.3,-0.7,-0.010,-0.034,1.006,26.25,26.50,26.25,26.75,26.50,26.50,26.00,26.25,25.75,26.50,26.25,26.50,26.50,26.25,26.00,26.00,25.00,26.75,26.25,26.75,27.25,27.00,26.50,26.25,25.75,27.00,28.00,29.00,30.00,29.25,27.75,27.75,26.75,26.75,30.25,31.25,31.00,29.50,27.50,26.25,25.50,27.25,30.50,30.50,29.50,28.75,25.25,25.25,25.75,27.00,28.75,29.00,29.00,28.00,25.25,24.50,26.25,26.50,28.50,28.75,29.00,27.00,24.25,24.50
310956,0,0,5.38,56,0,0,-0.0,0.3,-0.6,-0.009,-0.033,1.005,26.25,26.50,26.50,26.75,26.25,26.50,26.25,26.00,25.50,26.25,26.50,26.25,26.50,26.50,25.75,25.75,25.00,26.75,26.25,27.00,26.75,26.75,26.50,26.25,25.50,26.50,28.50,29.50,30.25,28.75,27.25,27.50,27.00,27.00,30.50,31.50,31.25,29.25,27.25,27.25,25.75,27.25,30.75,30.25,29.25,28.50,25.50,24.75,25.50,27.00,28.50,29.25,29.00,28.25,24.25,24.25,26.00,26.75,28.25,28.50,29.00,26.50,23.75,24.25
311056,0,0,5.39,58,0,0,-0.0,0.3,-0.6,-0.012,-0.033,1.005,27.00,26.75,26.75,26.50,26.50,26.50,26.00,26.25,25.75,26.50,26.50,26.25,26.25,26.00,25.50,26.00,25.00,26.75,26.25,27.00,27.25,27.25,26.75,26.50,25.75,26.75,27.50,29.25,30.25,29.00,27.50,28.00,27.00,26.50,31.00,31.25,30.75,29.75,27.75,26.75,26.25,27.00,30.50,30.25,30.00,28.50,25.25,24.50,25.75,26.75,28.00,29.25,29.00,28.25,24.75,25.00,25.75,26.50,28.50,28.75,29.00,26.50,23.75,24.75
311156,0,0,5.39,60,0,0,-0.0,0.3,-0.7,-0.011,-0.033,1.005,27.00,26.75,26.75,26.50,26.50,26.50,26.00,26.25,25.75,26.50,26.50,26.25,26.25,26.00,25.50,26.00,25.00,26.75,26.25,27.00,27.25,27.25,26.75,26.50,25.75,26.75,27.50,29.25,30.25,29.00,27.50,28.00,27.00,26.50,31.00,31.25,30.75,29.75,27.75,26.75,26.25,27.00,30.50,30.25,30.00,28.50,25.25,24.50,25.75,26.75,28.00,29.25,29.00,28.25,24.75,25.00,25.75,26.50,28.50,28.75,29.00,26.50,23.75,24.75
311256,0,0,5.39,56,0,0,-0.0,0.3,-0.7,-0.011,-0.033,1.004,26.50,26.75,26.00,26.50,26.75,26.00,26.25,25.75,26.25,26.75,26.75,26.75,26.50,26.50,26.00,26.00,25.00,26.75,26.00,27.00,27.25,26.75,26.75,25.75,25.75,26.75,28.25,29.50,30.00,29.25,27.75,28.00,26.75,26.75,30.75,31.50,31.00,29.50,27.75,26.75,26.25,27.25,30.50,30.50,29.50,28.25,25.00,25.00,25.25,26.75,28.75,29.25,29.25,27.75,24.75,24.50,25.75,26.50,29.00,29.00,29.25,26.50,24.25,24.50
